"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"  1566 Icarus (1949 MA)",Y,1.0,0.51,2460600.5,0.8270,1.078,22.80,87.95,31.43,160.86,1.97,0.8805,2460417.82,409,Y
"  1620 Geographos (1951 RA)",Y,2.56,0.290,2460600.5,0.3356,1.246,13.34,337.15,277.01,289.36,1.66,0.709,2460700.14,508,Y
"  1862 Apollo (1932 HA)",Y,1.5,0.25,2460600.5,0.5599,1.471,6.35,35.56,286.03,252.87,2.29,0.5527,2460794.35,651,Y
"  1981 Midas (1973 EA)",Y,3.4,,2460600.5,0.6505,1.776,39.82,356.80,267.84,258.81,2.93,0.4163,2460843.56,865,Y
"  2101 Adonis (1936 CA)",Y,0.6,,2460600.5,0.7642,1.874,1.32,349.43,43.69,230.82,3.31,0.3842,2460936.75,937,Y
"  2102 Tantalus (1975 YA)",Y,1.649,0.245,2460600.5,0.2993,1.29,64.00,94.35,61.52,78.27,1.68,0.6726,2460484.14,535,Y
"  2135 Aristaeus (1977 HA)",Y,,,2460600.5,0.5030,1.6,23.07,191.11,290.97,202.31,2.40,0.4871,2460924.20,739,Y
"  2201 Oljato (1947 XC)",Y,1.80,0.4328,2460600.5,0.7107,2.179,2.52,74.87,98.37,334.42,3.73,0.3065,2460683.95,1.17e+03,Y
"  3200 Phaethon (1983 TB)",Y,6.25,0.1066,2460600.5,0.8898,1.271,22.31,265.10,322.31,248.98,2.40,0.6875,2460762.00,524,Y
"  3361 Orpheus (1982 HR)",Y,0.3,0.357,2460600.5,0.3229,1.21,2.66,188.68,302.34,24.54,1.60,0.7401,2460567.34,486,Y
"  3671 Dionysus (1984 KD)",Y,1.5,0.16,2460600.5,0.5420,2.2,13.54,82.05,204.33,131.35,3.39,0.302,2460165.58,1.19e+03,Y
"  3757 Anagolay (1982 XB)",Y,0.5,0.18,2460600.5,0.4459,1.834,3.87,74.93,17.24,293.70,2.65,0.3967,2460767.65,908,Y
"  4015 Wilson-Harrington (1979 VA)",Y,4,0.05,2460600.5,0.6312,2.626,2.80,266.73,95.52,181.75,4.28,0.2317,2461369.95,1.55e+03,Y
"  4034 Vishnu (1986 PA)",Y,0.42,0.52,2460600.5,0.4441,1.06,11.17,157.89,296.70,260.40,1.53,0.9037,2460710.71,398,Y
"  4179 Toutatis (1989 AC)",Y,5.4,0.405,2460600.5,0.6248,2.543,0.45,125.36,277.88,339.68,4.13,0.243,2460684.14,1.48e+03,Y
"  4183 Cuno (1959 LM)",Y,3.651,0.097,2460600.5,0.6361,1.981,6.67,294.35,237.02,175.91,3.24,0.3536,2460102.94,1.02e+03,Y
